postal_code,country code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
N2L,CA,Waterloo South,Ontario,ON,Waterloo,,,,43.4715,-80.5454,1.0
N5V,CA,London (YXU / North and East Argyle / East Huron Heights),Ontario,ON,London,,,,43.0233,-81.1643,1.0
N5X,CA,London (Fanshawe / Stoneybrook / Stoney Creek / Uplands / East Masonville),Ontario,ON,London,,,,43.0443,-81.2391,1.0
N2R,CA,Kitchener South,Ontario,ON,Kitchener,,,,43.3849,-80.487,1.0
N2M,CA,Kitchener Northwest,Ontario,ON,Kitchener,,,,43.4363,-80.5093,1.0
N0L,CA,Elgin (Dorchester),Ontario,ON,,,,,42.7557,-81.4533,6.0
N2A,CA,Kitchener East,Ontario,ON,Kitchener,,,,43.4413,-80.4246,1.0
N3L,CA,Paris,Ontario,ON,,,,,43.2,-80.3833,4.0
N2H,CA,Kitchener North Central,Ontario,ON,Kitchener,,,,43.4581,-80.4818,1.0
N6M,CA,London (Jackson / Old Victoria / Bradley / North Highbury),Ontario,ON,London,,,,42.9632,-81.1392,6.0
N2C,CA,Kitchener South Central,Ontario,ON,Kitchener,,,,43.4182,-80.4451,1.0
N2K,CA,Kitchener North,Ontario,ON,Kitchener,,,,43.4961,-80.4936,4.0
N3B,CA,Elmira,Ontario,ON,,,,,43.6001,-80.5497,4.0
N5W,CA,London East (SW Argyle / Hamilton Road),Ontario,ON,London,,,,42.9856,-81.1821,1.0
N5H,CA,Aylmer,Ontario,ON,,,,,42.7668,-80.983,4.0
N2P,CA,Kitchener Southeast,Ontario,ON,Kitchener,,,,43.3878,-80.4296,1.0
N6J,CA,London (Southcrest / East Westmount / West Highland),Ontario,ON,London,,,,42.9546,-81.2735,6.0
M5W,CA,Downtown Toronto Stn A PO Boxes 25 The Esplanade (Enclave of M5E),Ontario,ON,Toronto,8133394.0,,,43.6437,-79.3787,
N6C,CA,London South (East Highland / North White Oaks / North Westminster),Ontario,ON,London,,,,42.9582,-81.238,6.0
N2B,CA,Kitchener Northeast,Ontario,ON,Kitchener,,,,43.4646,-80.4467,1.0
N6H,CA,London West (Central Hyde Park / Oakridge),Ontario,ON,London,,,,42.9915,-81.3402,6.0
N4W,CA,Listowel,Ontario,ON,,,,,43.7334,-80.9497,4.0
N6G,CA,London (Sunningdale / West Masonville / Medway / NE Hyde Park / East Fox Hollow),Ontario,ON,London,,,,43.0147,-81.3049,6.0
N5Z,CA,London (Glen Cairn),Ontario,ON,London,,,,42.966,-81.2053,1.0
N0E,CA,Brant and Norfolk (Waterford),Ontario,ON,,,,,42.6618,-80.5572,5.0
N6P,CA,London (Talbot / Lambeth / West Tempo / South Sharon Creek),Ontario,ON,London,,,,42.8909,-81.3236,6.0
N4G,CA,Tillsonburg,Ontario,ON,,,,,42.8599,-80.7262,4.0
N6N,CA,London (South Highbury / Glanworth / East Brockley / SE Westminster),Ontario,ON,London,,,,42.8997,-81.1592,6.0
N3H,CA,Cambridge West,Ontario,ON,Cambridge,,,,43.4267,-80.3699,1.0
N6L,CA,London (East Tempo),Ontario,ON,London,,,,42.8719,-81.2472,6.0
N6K,CA,London (Riverbend / Woodhull / North Sharon Creek / Byron / West Westmount),Ontario,ON,London,,,,42.9536,-81.3418,6.0
N6E,CA,London (South White Oaks / Central Westminster / East Longwoods / West Brockley),Ontario,ON,London,,,,42.9185,-81.2244,6.0
N1R,CA,Cambridge Central,Ontario,ON,Cambridge,,,,43.3666,-80.2239,5.0
N3E,CA,Cambridge Northwest,Ontario,ON,Cambridge,,,,43.4193,-80.3505,1.0
L3L,,,,,,,,,,,
N1S,CA,Cambridge Southwest,Ontario,ON,Cambridge,,,,43.3592,-80.3347,1.0
L9N,CA,Holland Landing,Ontario,ON,,,,,44.1149,-79.5014,1.0
N3R,CA,Brantford Central,Ontario,ON,Brant,5907982.0,,,43.1692,-80.2684,1.0
N1H,CA,Guelph Northwest,Ontario,ON,Guelph,,,,43.5588,-80.3004,5.0
N3T,CA,Brantford Southwest,Ontario,ON,Brant,5907982.0,,,43.131,-80.3254,5.0
N3C,CA,Cambridge Northeast,Ontario,ON,Cambridge,,,,43.4389,-80.2649,1.0
N1P,CA,Cambridge South,Ontario,ON,Cambridge,,,,43.3398,-80.2955,1.0
N1T,CA,Cambridge East,Ontario,ON,Cambridge,,,,43.3849,-80.2833,1.0
N3V,CA,Brantford Northwest,Ontario,ON,Brant,5907982.0,,,43.1734,-80.298,1.0
N7S,CA,Sarnia Central,Ontario,ON,Sarnia,,,,42.9888,-82.3592,1.0
N1K,CA,Guelph West,Ontario,ON,Guelph,,,,43.526,-80.3051,5.0
L8M,CA,Hamilton (West Delta / Blakeley / South Stipley / South Gibson / St. Clair),Ontario,ON,Hamilton,5969784.0,,,43.2441,-79.8359,6.0
N3S,CA,Brantford Southeast,Ontario,ON,Brant,5907982.0,,,43.1394,-80.2357,1.0
N1M,CA,Fergus,Ontario,ON,,,,,43.7001,-80.3664,4.0
L2A,CA,Fort Erie,Ontario,ON,,,,,42.9001,-78.9329,4.0
N3P,CA,Brantford Northeast,Ontario,ON,Brant,5907982.0,,,43.1818,-80.2367,1.0
L7R,CA,Burlington Southeast,Ontario,ON,Burlington,,,,43.375,-79.8434,1.0
L8V,CA,Hamilton (Raleigh / Macassa / Lawfield / Thorner / Burkholme / Eastmount),Ontario,ON,Hamilton,5969784.0,,,43.2266,-79.8499,6.0
N5P,CA,St. Thomas North,Ontario,ON,St. Thomas ,,,,42.7779,-81.1769,4.0
N1G,CA,Guelph Central,Ontario,ON,Guelph,,,,43.5184,-80.2257,1.0
N4B,CA,Delhi,Ontario,ON,,,,,42.8501,-80.4997,4.0
N1C,CA,Guelph South,Ontario,ON,Guelph,,,,43.4921,-80.2267,1.0
N1E,CA,Guelph North,Ontario,ON,Guelph,,,,43.5677,-80.2418,1.0
L0R,CA,East Haldimand County (Waterdown),Ontario,ON,,,,,43.1607,-79.7463,6.0
N1L,CA,Guelph East,Ontario,ON,Guelph,,,,43.51600000000001,-80.19,1.0
N5R,CA,St. Thomas South,Ontario,ON,St. Thomas ,,,,42.7597,-81.1762,1.0
N7G,CA,Strathroy,Ontario,ON,,,,,42.9551,-81.6223,4.0
N3Y,CA,Simcoe,Ontario,ON,,,,,42.8334,-80.2997,4.0
L7J,CA,Acton,Ontario,ON,,,,,43.6297,-80.0415,4.0
L4B,CA,Richmond Hill Southeast,Ontario,ON,Richmond Hill ,,,,43.8582,-79.3985,1.0
L3T,CA,Thornhill East,Ontario,ON,,,,,43.8227,-79.3946,1.0
N7A,CA,Goderich,Ontario,ON,,,,,43.7501,-81.7165,4.0
L9H,CA,Dundas,Ontario,ON,,,,,43.2638,-79.9524,4.0
L9V,CA,Orangeville North,Ontario,ON,Orangeville,,,,43.9597,-80.1079,4.0
L8B,CA,Waterdown,Ontario,ON,,,,,43.3334,-79.8829,4.0
L9T,CA,Milton,Ontario,ON,,,,,43.5148,-79.884,1.0
N0A,CA,West Haldimand (Port Dover),Ontario,ON,,,,,42.9403,-79.945,6.0
N5L,CA,Port Stanley,Ontario,ON,,,,,42.6668,-81.2164,4.0
L8N,CA,Hamilton (Stinson / Corktown),Ontario,ON,Hamilton,5969784.0,,,43.4017,-80.017,5.0
L9W,CA,Orangeville South,Ontario,ON,Orangeville,,,,43.9702,-80.016,5.0
L9G,CA,Ancaster West,Ontario,ON,Ancaster,,,,43.1836,-79.9902,1.0
L0N,CA,Dufferin County (Shelburne),Ontario,ON,Dufferin County,5943542.0,,,44.0317,-80.2068,6.0
L0P,CA,Halton Regional Municipality (Campbellville),Ontario,ON,Halton,5969719.0,,,43.4906,-79.9998,5.0
M3K,CA,Downsview East (CFB Toronto),Ontario,ON,Toronto,8133394.0,,,43.739,-79.4692,1.0
N3W,CA,Caledonia,Ontario,ON,,,,,43.0668,-79.9329,4.0
L5G,CA,Mississauga (SW Lakeview / Mineola / East Port Credit),Ontario,ON,Mississauga,,,,43.5647,-79.5852,6.0
L8R,CA,Hamilton (Central / Strathcona / South Dundurn),Ontario,ON,Hamilton,5969784.0,,,43.2726,-79.8792,6.0
L8P,CA,Hamilton (Durand / Kirkendall / Chedoke Park),Ontario,ON,Hamilton,5969784.0,,,43.2514,-79.8925,6.0
L8T,CA,Hamilton (Sherwood / Huntington / Upper King's Forest / Lisgar / Berrisfield / Hampton Heights / Sunninghill),Ontario,ON,Hamilton,5969784.0,,,43.2199,-79.8286,6.0
M9W,CA,Etobicoke Northwest (Clairville / Humberwood / Woodbine Downs / West Humber / Kipling Heights / Rexdale / Elms / Tandridge / Old Rexdale),Ontario,ON,Etobicoke,,,,43.7144,-79.5909,6.0
L9C,CA,Hamilton (Southam / Bonnington / Yeoville / Kernighan / Gourley / Rolston / Buchanan / Mohawk / Westcliffe / Gilbert / Gilkson / Gurnett / Fessenden / Mountview),Ontario,ON,Hamilton,5969784.0,,,43.2313,-79.9049,1.0
L8G,CA,Hamilton (Greenford / North Gershome / West Stoney Creek),Ontario,ON,Hamilton,5969784.0,,,43.2164,-79.7423,6.0
L9K,CA,Ancaster East,Ontario,ON,Ancaster,,,,43.225,-79.9427,1.0
L8S,CA,Hamilton (Westdale / Cootes Paradise / Ainslie Wood),Ontario,ON,Hamilton,5969784.0,,,43.2606,-79.9161,6.0
L7P,CA,Burlington West,Ontario,ON,Burlington,,,,43.3806,-79.88600000000002,1.0
N0N,CA,Lambton (Forest),Ontario,ON,,,,,42.9062,-82.11,6.0
L9X,CA,"Midhurst, Minesing, Springwater, Barrie",Ontario,ON,,,,,44.4438,-79.77035000000002,4.0
L9B,CA,Hamilton (Barnstown / West Chappel / Allison / Ryckmans / Mewburn / Sheldon / Falkirk / Carpenter / Kennedy / Southwest Outskirts),Ontario,ON,Hamilton,5969784.0,,,43.2055,-79.9004,1.0
L9J,CA,Barrie,Ontario,ON,,,,,44.3186,-79.6761,5.0
L7M,CA,Burlington North,Ontario,ON,Burlington,,,,43.4342,-79.8701,5.0
L7T,CA,Burlington Southwest,Ontario,ON,Burlington,,,,43.3081,-79.8507,1.0
N4N,CA,Hanover,Ontario,ON,,,,,44.1501,-81.033,4.0
L7G,CA,Georgetown,Ontario,ON,,,,,43.6501,-79.9163,4.0
L2G,CA,Niagara Falls Southeast,Ontario,ON,Niagara Falls ,,,,43.0696,-79.0818,1.0
L6M,CA,Oakville West,Ontario,ON,Oakville,,,,43.4464,-79.7593,1.0
L9A,CA,Hamilton (Crerar / Bruleville / Hill Park / Inch Park / Centremount / Balfour / Greeningdon / Jerome),Ontario,ON,Hamilton,5969784.0,,,43.2271,-79.87100000000002,1.0
L8L,CA,Hamilton (West Industrial Sector / West Crown Point / North Stipley / North Gibson / Landsdale / Keith / North End / Beasley),Ontario,ON,Hamilton,5969784.0,,,43.2783,-79.8344,6.0
L7K,CA,Caledon Village,Ontario,ON,,,,,43.8602,-79.99600000000002,4.0
L8H,CA,Hamilton (West Kentley / McQuesten / Parkview / Hamilton Beach / East Industrial Sector / Normanhurst / Homeside / East Crown Point),Ontario,ON,Hamilton,5969784.0,,,43.2596,-79.7925,6.0
L9E,CA,Milton,Ontario,ON,Halton,5969719.0,,,43.5168,-79.8829,4.0
L8W,CA,Hamilton (West Albion Falls / Hannon / Rymal / Trenholme / Quinndale / Templemead / Broughton / Eleanor / Randall / Rushdale / Butler / East Chappel),Ontario,ON,Hamilton,5969784.0,,,43.1958,-79.8458,6.0
L8J,CA,Hamilton (East Albion Falls / South Stoney Creek),Ontario,ON,Hamilton,5969784.0,,,43.1836,-79.721,6.0
L8E,CA,Hamilton (Confederation Park / Nashdale / East Kentley / Riverdale / Lakely / Grayside / North Stoney Creek),Ontario,ON,Hamilton,5969784.0,,,43.2245,-79.6988,6.0
L7C,CA,Caledon,Ontario,ON,,,,,43.8753,-79.8558,4.0
L6T,CA,Brampton East,Ontario,ON,Brampton,,,,43.7196,-79.6854,1.0
L7S,CA,Burlington South,Ontario,ON,Burlington,,,,43.323,-79.8092,1.0
L7L,CA,Burlington Northeast,Ontario,ON,Burlington,,,,43.3799,-79.7668,1.0
L8K,CA,Hamilton (East Delta / Bartonville / Glenview / Rosedale / Lower King's Forest / Red Hill / Corman / Vincent / South Gershome),Ontario,ON,Hamilton,5969784.0,,,43.2211,-79.7994,6.0
L9Y,CA,Collingwood,Ontario,ON,,,,,44.4834,-80.2164,4.0
L6W,CA,Brampton Southeast,Ontario,ON,Brampton,,,,43.68,-79.7273,1.0
L1H,CA,Oshawa Southeast,Ontario,ON,Oshawa,,,,43.9721,-78.8837,1.0
N1A,CA,Dunnville,Ontario,ON,,,,,42.9001,-79.6163,4.0
L7N,CA,Burlington East,Ontario,ON,Burlington,,,,43.3512,-79.78399999999998,1.0
L7A,CA,Brampton West,Ontario,ON,,,,,43.6909,-79.8377,1.0
L6J,CA,Oakville Northeast,Ontario,ON,Oakville,,,,43.4757,-79.6591,1.0
L6V,CA,Brampton Central,Ontario,ON,Brampton,,,,43.7059,-79.7626,1.0
L6H,CA,Oakville North,Ontario,ON,Oakville,,,,43.4881,-79.7098,4.0
L6X,CA,Brampton Southwest,Ontario,ON,Brampton,,,,43.6665,-79.8054,1.0
L5N,CA,Mississauga (Lisgar / Meadowvale),Ontario,ON,Mississauga,,,,43.5924,-79.7611,6.0
L6Y,CA,Brampton South,Ontario,ON,Brampton,,,,43.6249,-79.7876,5.0
L6L,CA,Oakville South,Ontario,ON,Oakville,,,,43.4032,-79.7186,1.0
M8Z,CA,Etobicoke (Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West),Ontario,ON,Etobicoke,,,,43.6256,-79.5231,6.0
N2Z,CA,Kincardine,Ontario,ON,,,,,44.1664,-81.601,4.0
L5M,CA,Mississauga (Churchill Meadows / Central Erin Mills / South Streetsville),Ontario,ON,Mississauga,,,,43.5637,-79.7202,6.0
L4T,CA,Mississauga (Malton),Ontario,ON,Mississauga,,,,43.7139,-79.6434,1.0
L6A,CA,Maple,Ontario,ON,,,,,43.8501,-79.5163,4.0
L3M,CA,Grimsby,Ontario,ON,,,,,43.2001,-79.5663,4.0
L5C,CA,Mississauga (West Creditview / Mavis / Erindale),Ontario,ON,Mississauga,,,,43.5624,-79.6504,6.0
N0C,CA,Georgian Bay Southwest Shore (Dundalk),Ontario,ON,,,,,44.2561,-80.5029,6.0
L5A,CA,Mississauga (Mississauga Valleys / East Cooksville),Ontario,ON,Mississauga,,,,43.5883,-79.6091,6.0
L6Z,CA,Brampton West Central,Ontario,ON,Brampton,,,,43.7328,-79.7953,1.0
L4A,CA,Stouffville,Ontario,ON,,,,,43.9668,-79.2496,4.0
L5H,CA,Mississauga (West Port Credit / Lorne Park / East Sheridan),Ontario,ON,Mississauga,,,,43.5419,-79.6164,6.0
L6K,CA,Oakville East,Ontario,ON,Oakville,,,,43.4396,-79.6878,1.0
L5L,CA,Mississauga (Erin Mills / Western Business Park),Ontario,ON,Mississauga,,,,43.5373,-79.6903,6.0
L2H,CA,Niagara Falls West,Ontario,ON,Niagara Falls ,,,,43.1009,-79.1379,1.0
L4W,CA,Mississauga (Matheson / East Rathwood),Ontario,ON,Mississauga,,,,43.6413,-79.6296,1.0
L4V,CA,Mississauga (Wildwood),Ontario,ON,Mississauga,,,,43.6935,-79.6069,1.0
L5V,CA,Mississauga (East Credit),Ontario,ON,Mississauga,,,,43.5972,-79.6931,6.0
L5K,CA,Mississauga (West Sheridan),Ontario,ON,Mississauga,,,,43.5272,-79.6617,6.0
M5V,CA,Downtown Toronto (CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / YTZ),Ontario,ON,Toronto,8133394.0,,,43.6404,-79.3995,6.0
L5W,CA,Mississauga (Meadowvale Village / West Gateway),Ontario,ON,Mississauga,,,,43.6313,-79.7148,6.0
L4Y,CA,Mississauga (West Applewood / West Dixie / NW Lakeview),Ontario,ON,Mississauga,,,,43.6028,-79.5929,1.0
N7T,CA,Sarnia Southwest,Ontario,ON,Sarnia,,,,42.9578,-82.2777,5.0
L6R,CA,Brampton Northwest,Ontario,ON,Brampton,,,,43.7592,-79.7605,1.0
L6S,CA,Brampton North Central,Ontario,ON,Brampton,,,,43.7379,-79.726,1.0
L5T,CA,Mississauga (Courtney Park / East Gateway),Ontario,ON,Mississauga,,,,43.6683,-79.6182,5.0
L5S,CA,Mississauga (Cardiff / NE Gateway),Ontario,ON,Mississauga,,,,43.6801,-79.6783,6.0
L5R,CA,Mississauga (West Hurontario / SW Gateway),Ontario,ON,Mississauga,,,,43.606,-79.6708,6.0
L5J,CA,Mississauga (Clarkson / Southdown),Ontario,ON,Mississauga,,,,43.5102,-79.6296,6.0
L6P,CA,Brampton North,Ontario,ON,Brampton,,,,43.7942,-79.7021,4.0
L3B,CA,Welland East,Ontario,ON,Welland,,,,42.9878,-79.2219,1.0
L5B,CA,Mississauga (West Cooksville / Fairview / City Centre / East Creditview),Ontario,ON,Mississauga,,,,43.5771,-79.6306,6.0
N7M,CA,Chatham Southeast,Ontario,ON,Chatham,,,,42.4238,-82.1183,5.0
N0P,CA,Kent (Blenheim),Ontario,ON,,,,,42.4045,-81.9107,5.0
L4Z,CA,Mississauga (West Rathwood / East Hurontario / SE Gateway),Ontario,ON,Mississauga,,,,43.6192,-79.6538,1.0
L7E,CA,Bolton,Ontario,ON,,,,,43.8795,-79.7379,4.0
L6B,CA,Markham East,Ontario,ON,Markham,,,,43.9007,-79.2175,1.0
N7L,CA,Chatham Northwest,Ontario,ON,Chatham,,,,42.4209,-82.1993,1.0
M7R,,,,,,,,,,,
L5P,CA,Mississauga (YYZ),Ontario,ON,Mississauga,,,,43.6904,-79.6238,
N7X,CA,Sarnia Northeast,Ontario,ON,Sarnia,,,,43.0214,-82.3212,1.0
L4X,CA,Mississauga (East Applewood / East Dixie / NE Lakeview),Ontario,ON,Mississauga,,,,43.6178,-79.5786,1.0
M4W,CA,Downtown Toronto (Rosedale),Ontario,ON,Toronto,8133394.0,,,43.6827,-79.373,6.0
M9C,CA,Etobicoke (Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Woods),Ontario,ON,Etobicoke,,,,43.6437,-79.5767,6.0
L5E,CA,Mississauga (Central Lakeview),Ontario,ON,Mississauga,,,,43.5836,-79.561,6.0
M5A,CA,Downtown Toronto (Regent Park / Port of Toronto),Ontario,ON,Toronto,8133394.0,,,43.6555,-79.3626,6.0
N7W,CA,Sarnia Southeast,Ontario,ON,Sarnia,,,,42.9644,-82.3259,1.0
L4H,CA,Woodbridge North,Ontario,ON,Woodbridge,,,,43.8432,-79.5644,5.0
L0G,CA,Ontario Centre (Queensville),Ontario,ON,,,,,44.0586,-79.6235,6.0
M6P,CA,West Toronto (High Park / The Junction South),Ontario,ON,Toronto,8133394.0,,,43.6605,-79.4633,6.0
M4Y,CA,Downtown Toronto (Church and Wellesley),Ontario,ON,Toronto,8133394.0,,,43.6656,-79.383,6.0
M6H,CA,West Toronto (Dufferin / Dovercourt Village),Ontario,ON,Toronto,8133394.0,,,43.6655,-79.4378,6.0
M8W,CA,Etobicoke (Alderwood / Long Branch),Ontario,ON,Etobicoke,,,,43.6021,-79.5402,6.0
M9A,CA,Etobicoke (Islington Avenue),Ontario,ON,Etobicoke,,,,43.6662,-79.5282,6.0
L4L,CA,Woodbridge South,Ontario,ON,Woodbridge,,,,43.8064,-79.5995,1.0
M6R,CA,West Toronto (Parkdale / Roncesvalles Village),Ontario,ON,Toronto,8133394.0,,,43.6469,-79.4521,6.0
M9B,CA,Etobicoke (West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale),Ontario,ON,Etobicoke,,,,43.6505,-79.5517,6.0
M9R,CA,Etobicoke (Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens),Ontario,ON,Etobicoke,,,,43.6898,-79.5582,6.0
M9V,CA,Etobicoke (South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens),Ontario,ON,Etobicoke,,,,43.7432,-79.5876,6.0
M5T,CA,Downtown Toronto (Kensington Market / Chinatown / Grange Park),Ontario,ON,Toronto,8133394.0,,,43.6541,-79.3978,6.0
L0J,CA,North Peel Regional Municipality (Kleinburg),Ontario,ON,,,,,43.8566,-79.6485,6.0
M5C,CA,Downtown Toronto (St. James Park),Ontario,ON,Toronto,8133394.0,,,43.6513,-79.3756,6.0
M8V,CA,Etobicoke (New Toronto / Mimico South / Humber Bay Shores),Ontario,ON,Toronto,8133394.0,,,43.6075,-79.5013,6.0
N7V,CA,Sarnia Northwest,Ontario,ON,Sarnia,,,,42.9998,-82.3926,1.0
L4K,CA,Concord,Ontario,ON,,,,,43.8001,-79.4829,4.0
M7A,CA,Queen's Park Ontario Provincial Government,Ontario,ON,,,,,43.6641,-79.3889,
M9P,CA,Etobicoke (Westmount),Ontario,ON,Etobicoke,,,,43.6949,-79.5323,6.0
M9L,CA,North York (Humber Summit),Ontario,ON,North York ,,,,43.7598,-79.5565,6.0
M8X,CA,Etobicoke (The Kingsway / Montgomery Road / Old Mill North),Ontario,ON,Etobicoke,,,,43.6518,-79.5076,6.0
M8Y,CA,Etobicoke (Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East),Ontario,ON,Etobicoke,,,,43.6325,-79.4939,6.0
M4T,CA,Central Toronto (Moore Park / Summerhill East),Ontario,ON,Toronto,8133394.0,,,43.6899,-79.3853,6.0
L3Z,CA,Bradford,Ontario,ON,,,,,44.1168,-79.5663,4.0
M5J,CA,Downtown Toronto (Harbourfront East / Union Station / Toronto Island),Ontario,ON,Toronto,8133394.0,,,43.62300000000001,-79.3936,5.0
M9M,CA,North York (Humberlea / Emery),Ontario,ON,North York ,,,,43.7366,-79.5401,6.0
L7B,CA,King City,Ontario,ON,,,,,43.9286,-79.5269,4.0
M6A,CA,North York (Lawrence Manor / Lawrence Heights),Ontario,ON,North York ,,,,43.7223,-79.4504,6.0
M3A,CA,North York (York Heights / Victoria Village / Parkway East),Ontario,ON,North York ,,,,43.7545,-79.33,1.0
M9N,CA,Weston,Ontario,ON,,,,,43.7068,-79.517,6.0
L4S,CA,Richmond Hill Central,Ontario,ON,Richmond Hill ,,,,43.8985,-79.4143,1.0
M4A,CA,North York (Sweeney Park / Wigmore Park),Ontario,ON,,,,,43.7276,-79.3148,6.0
M2R,CA,Willowdale West,Ontario,ON,Willowdale,,,,43.7786,-79.445,6.0
M3J,CA,North York (Northwood Park / York University),Ontario,ON,North York ,,,,43.7694,-79.4921,1.0
M6S,CA,West Toronto (Bloor West Village / Swansea),Ontario,ON,Toronto,8133394.0,,,43.6512,-79.4828,6.0
M6N,CA,York (Runnymede / The Junction North),Ontario,ON,York,,,,43.6748,-79.4839,6.0
M6B,CA,North York (Glencairn),Ontario,ON,North York ,,,,43.7081,-79.4479,6.0
M7Y,CA,East Toronto Business Reply Mail Processing Centre 969 Eastern (Enclave of M4L),Ontario,ON,Toronto,8133394.0,,,43.7804,-79.2505,
M6M,CA,York (Del Ray / Keelsdale / Mount Dennis / Silverthorne),Ontario,ON,York,,,,43.6934,-79.4857,6.0
L9R,CA,Alliston,Ontario,ON,,,,,44.1501,-79.8663,4.0
L3R,CA,Markham Outer Southwest,Ontario,ON,Markham,,,,43.8479,-79.3288,1.0
M1K,CA,Scarborough (Kennedy Park / Ionview / East Birchmount Park),Ontario,ON,Scarborough,,,,43.7298,-79.2639,6.0
M3L,CA,Downsview West,Ontario,ON,Downsview,,,,43.7334,-79.5116,1.0
L4E,CA,Richmond Hill North,Ontario,ON,Richmond Hill ,,,,43.9394,-79.4349,4.0
M3N,CA,North York (Jane and Finch),Ontario,ON,North York ,,,,43.7568,-79.521,1.0
M6L,CA,North York (North Park / Maple Leaf Park / Upwood Park),Ontario,ON,North York ,,,,43.7137,-79.4869,6.0
M3M,CA,Downsview Central,Ontario,ON,Downsview,,,,43.7319,-79.4928,1.0
L4R,CA,Midland,Ontario,ON,,,,,44.7501,-79.883,4.0
M1V,CA,Scarborough (Milliken / Agincourt North / Steeles East / L'Amoreaux East),Ontario,ON,Scarborough,,,,43.8177,-79.2819,6.0
M5H,CA,Downtown Toronto (Richmond / Adelaide / King),Ontario,ON,Toronto,8133394.0,,,43.6496,-79.3833,6.0
M5K,CA,Downtown Toronto (Toronto Dominion Centre / Design Exchange),Ontario,ON,Toronto,8133394.0,,,43.6469,-79.3823,
M4P,CA,Central Toronto (Davisville North),Ontario,ON,Toronto,8133394.0,,,43.7135,-79.3887,6.0
L4G,CA,Aurora,Ontario,ON,,,,,44.0001,-79.4663,4.0
M4R,CA,Central Toronto (North Toronto West),Ontario,ON,Toronto,8133394.0,,,43.7143,-79.4065,6.0
M2J,CA,North York (Fairview / Henry Farm / Oriole),Ontario,ON,North York ,,,,43.7801,-79.3479,6.0
L4J,CA,Thornhill West,Ontario,ON,,,,,43.8156,-79.4534,1.0
M2N,CA,Willowdale South,Ontario,ON,Willowdale,,,,43.7673,-79.4111,6.0
M5M,CA,North York (Bedford Park / Lawrence Park West / Lawrence Manor East),Ontario,ON,,,,,43.7335,-79.4177,6.0
M6K,CA,West Toronto (Brockton / Parkdale Village / Exhibition Place),Ontario,ON,Toronto,8133394.0,,,43.6383,-79.4301,6.0
M5X,CA,Downtown Toronto (Underground city),Ontario,ON,Toronto,8133394.0,,,43.6492,-79.3823,
M6E,CA,York (Fairbank / Oakwood),Ontario,ON,York,,,,43.6889,-79.4507,6.0
M1R,CA,Scarborough (Wexford / Maryvale),Ontario,ON,Scarborough,,,,43.7507,-79.3003,6.0
M6J,CA,West Toronto (Rua Aþores / Trinity),Ontario,ON,Toronto,8133394.0,,,43.648,-79.4177,6.0
